iter	Passed	Remaining
419	2493	9379
420	2499	9373
421	2504	9365
422	2510	9358
423	2515	9351
424	2521	9344
425	2527	9337
426	2532	9330
427	2538	9324
428	2544	9319
429	2550	9312
430	2556	9305
431	2561	9298
432	2567	9291
433	2573	9285
434	2579	9278
435	2585	9272
436	2590	9266
437	2596	9260
438	2602	9253
439	2608	9248
440	2614	9242
441	2619	9234
442	2625	9228
443	2631	9221
444	2636	9213
445	2642	9207
446	2648	9200
447	2653	9193
448	2659	9186
449	2665	9179
450	2670	9172
451	2676	9166
452	2682	9159
453	2687	9152
454	2693	9145
455	2698	9138
456	2704	9131
457	2712	9130
458	2717	9124
459	2723	9118
460	2729	9111
461	2734	9104
462	2740	9097
463	2746	9090
464	2751	9083
465	2757	9077
466	2763	9071
467	2769	9064
468	2774	9057
469	2780	9052
470	2786	9045
471	2792	9039
472	2798	9033
473	2803	9027
474	2809	9019
475	2815	9012
476	2820	9006
477	2826	9000
478	2832	8993
479	2838	8987
480	2843	8980
481	2849	8975
482	2855	8968
483	2861	8963
484	2867	8956
485	2873	8950
486	2878	8943
487	2884	8936
488	2890	8930
489	2895	8923
490	2901	8916
491	2907	8910
492	2912	8903
493	2918	8896
494	2923	8889
495	2929	8882
496	2935	8877
497	2941	8870
498	2946	8864
499	2952	8858
500	2958	8852
501	2964	8845
502	2969	8838
503	2975	8831
504	2981	8824
505	2986	8818
506	2992	8811
507	2997	8804
508	3003	8798
509	3009	8792
510	3015	8787
511	3021	8780
512	3027	8774
513	3033	8768
514	3038	8762
515	3044	8756
516	3050	8750
517	3056	8743
518	3061	8736
519	3067	8729
520	3072	8723
521	3078	8716
522	3084	8710
523	3090	8704
524	3095	8697
525	3101	8691
526	3109	8690
527	3115	8685
528	3121	8678
529	3126	8672
530	3132	8665
531	3138	8659
532	3143	8652
533	3149	8646
534	3155	8639
535	3160	8632
536	3166	8626
537	3172	8620
538	3177	8613
539	3195	8639
540	3212	8664
541	3230	8691
542	3247	8713
543	3262	8732
544	3276	8747
545	3293	8769
546	3298	8762
547	3304	8756
548	3310	8748
549	3316	8742
550	3321	8735
551	3327	8729
552	3333	8722
553	3338	8715
554	3344	8708
555	3350	8701
556	3356	8694
557	3361	8687
558	3367	8680
559	3373	8674
560	3379	8668
561	3384	8660
562	3390	8654
563	3396	8647
564	3401	8640
565	3407	8633
566	3413	8626
567	3418	8619
568	3424	8612
569	3430	8606
570	3436	8599
571	3442	8593
572	3447	8586
573	3453	8579
574	3458	8572
575	3464	8565
576	3470	8558
577	3476	8551
578	3481	8544
579	3487	8537
580	3492	8530
581	3498	8524
582	3506	8521
583	3511	8515
584	3517	8508
585	3523	8501
586	3529	8495
587	3535	8488
588	3540	8481
589	3546	8475
590	3552	8468
591	3557	8461
592	3564	8456
593	3569	8449
594	3575	8443
595	3581	8436
596	3587	8430
597	3593	8424
598	3598	8417
599	3604	8410
600	3610	8404
601	3616	8397
602	3621	8390
603	3627	8384
604	3633	8377
605	3639	8373
606	3645	8366
607	3651	8359
608	3656	8352
609	3662	8345
610	3668	8339
611	3674	8332
612	3679	8326
613	3685	8320
614	3691	8313
615	3697	8307
616	3703	8300
617	3708	8294
618	3715	8288
619	3720	8281
620	3726	8275
621	3732	8268
622	3737	8261
623	3743	8255
624	3749	8248
625	3755	8242
626	3760	8235
627	3766	8228
628	3772	8222
629	3778	8216
630	3784	8209
631	3789	8203
632	3795	8196
633	3801	8190
634	3807	8183
635	3813	8177
636	3818	8171
637	3824	8165
638	3830	8158
639	3836	8152
640	3842	8145
641	3847	8139
642	3853	8132
643	3859	8126
644	3865	8119
645	3871	8113
646	3876	8107
647	3882	8100
648	3888	8094
649	3894	8088
650	3903	8088
651	3909	8083
652	3915	8077
653	3921	8071
654	3927	8064
655	3933	8057
656	3938	8051
657	3944	8044
658	3949	8037
659	3955	8030
660	3961	8024
661	3966	8017
662	3972	8011
663	3978	8005
664	3984	7999
665	3990	7992
666	3996	7986
667	4002	7980
668	4007	7973
669	4013	7967
670	4019	7960
671	4024	7954
672	4030	7948
673	4037	7942
674	4042	7935
675	4048	7928
676	4053	7922
677	4059	7915
678	4065	7909
679	4071	7903
680	4077	7896
681	4082	7890
682	4088	7883
683	4094	7878
684	4100	7871
685	4106	7865
686	4111	7858
687	4117	7851
688	4123	7845
689	4129	7840
690	4135	7834
691	4141	7828
692	4147	7822
693	4153	7816
694	4159	7809
695	4165	7803
696	4170	7797
697	4176	7790
698	4182	7784
699	4188	7778
700	4194	7771
701	4199	7765
702	4205	7758
703	4211	7752
704	4217	7746
705	4222	7739
706	4229	7734
707	4235	7728
708	4241	7722
709	4247	7717
710	4253	7711
711	4259	7704
712	4265	7698
713	4270	7692
714	4276	7686
715	4282	7679
716	4288	7673
717	4296	7670
718	4301	7664
719	4307	7658
720	4313	7651
721	4318	7644
722	4324	7638
723	4330	7631
724	4336	7625
725	4342	7619
726	4348	7613
727	4353	7607
728	4359	7601
729	4365	7594
730	4371	7588
731	4377	7582
732	4383	7576
733	4388	7569
734	4394	7563
735	4400	7557
736	4406	7551
737	4412	7544
738	4417	7538
739	4423	7531
740	4430	7526
741	4435	7520
742	4441	7513
743	4447	7507
744	4452	7500
745	4458	7494
746	4464	7487
747	4470	7482
748	4476	7476
749	4481	7469
750	4487	7463
751	4493	7457
752	4499	7450
753	4505	7445
754	4511	7439
755	4517	7433
756	4523	7427
757	4528	7420
758	4534	7414
759	4540	7407
760	4545	7401
761	4551	7395
762	4557	7389
763	4563	7382
764	4569	7376
765	4575	7370
766	4580	7363
767	4586	7357
768	4592	7351
769	4598	7345
770	4603	7338
771	4609	7332
772	4615	7326
773	4621	7320
774	4627	7313
775	4632	7307
776	4638	7301
777	4644	7295
778	4650	7288
779	4656	7282
780	4661	7275
781	4667	7269
782	4673	7263
783	4678	7256
784	4684	7250
785	4692	7246
786	4697	7240
787	4704	7235
788	4710	7229
789	4715	7223
790	4721	7217
791	4727	7210
792	4733	7204
793	4739	7198
794	4745	7192
795	4750	7185
796	4756	7179
797	4762	7173
798	4768	7167
799	4774	7161
800	4779	7154
801	4785	7148
802	4791	7142
803	4797	7136
804	4803	7130
805	4809	7125
806	4815	7118
807	4821	7112
808	4827	7107
809	4833	7100
810	4838	7094
811	4844	7087
812	4850	7081
813	4855	7075
814	4861	7068
815	4867	7062
816	4873	7056
817	4878	7049
818	4884	7043
819	4890	7037
820	4896	7031
821	4902	7025
822	4908	7019
823	4914	7013
824	4920	7007
825	4925	7001
826	4931	6995
827	4937	6988
828	4943	6982
829	4948	6976
830	4954	6970
831	4960	6963
832	4966	6957
833	4971	6951
834	4977	6945
835	4983	6939
836	4989	6933
837	4995	6927
838	5001	6920
839	5006	6914
840	5012	6908
841	5018	6901
842	5024	6895
843	5029	6889
844	5036	6883
845	5042	6877
846	5047	6871
847	5053	6864
848	5059	6859
849	5065	6852
850	5070	6846
851	5076	6840
852	5084	6837
853	5090	6830
854	5095	6824
855	5101	6817
856	5107	6811
857	5113	6805
858	5119	6799
859	5124	6793
860	5130	6787
861	5136	6781
862	5142	6774
863	5148	6768
864	5154	6762
865	5159	6756
866	5165	6750
867	5171	6744
868	5177	6738
869	5183	6732
870	5189	6726
871	5194	6719
872	5200	6713
873	5206	6707
874	5212	6701
875	5218	6696
876	5224	6689
877	5230	6683
878	5236	6677
879	5241	6671
880	5247	6664
881	5253	6658
882	5258	6652
883	5264	6646
884	5270	6640
885	5276	6634
886	5282	6628
887	5287	6621
888	5293	6615
889	5299	6609
890	5304	6602
891	5310	6596
892	5316	6590
893	5322	6584
894	5327	6577
895	5333	6571
896	5339	6565
897	5344	6558
898	5350	6552
899	5356	6546
900	5362	6540
901	5367	6534
902	5373	6527
903	5379	6521
904	5385	6515
905	5390	6509
906	5396	6503
907	5402	6497
908	5408	6491
909	5414	6485
910	5419	6478
911	5425	6472
912	5431	6466
913	5437	6460
914	5442	6454
915	5448	6447
916	5454	6441
917	5459	6435
918	5465	6429
919	5471	6422
920	5478	6418
921	5485	6413
922	5491	6407
923	5497	6401
924	5502	6395
925	5508	6389
926	5514	6382
927	5519	6376
928	5525	6370
929	5531	6364
930	5537	6358
931	5543	6352
932	5548	6345
933	5554	6339
934	5560	6333
935	5566	6327
936	5572	6321
937	5577	6315
938	5583	6308
939	5588	6302
940	5594	6296
941	5600	6290
942	5606	6283
943	5612	6278
944	5618	6272
945	5623	6266
946	5629	6259
947	5635	6253
948	5640	6247
949	5646	6241
950	5652	6234
951	5657	6228
952	5663	6222
953	5669	6215
954	5674	6209
955	5680	6203
956	5686	6197
957	5692	6191
958	5697	6185
959	5703	6178
960	5709	6172
961	5715	6166
962	5720	6160
963	5726	6154
964	5732	6148
965	5737	6141
966	5743	6135
967	5749	6129
968	5755	6123
969	5761	6117
970	5766	6111
971	5772	6105
972	5778	6098
973	5783	6092
974	5789	6086
975	5795	6080
976	5801	6074
977	5806	6067
978	5812	6061
979	5818	6055
980	5823	6049
981	5829	6043
982	5835	6037
983	5841	6031
984	5847	6025
985	5853	6019
986	5859	6013
987	5864	6007
988	5873	6003
989	5878	5997
990	5884	5991
991	5890	5985
992	5895	5979
993	5901	5972
994	5907	5967
995	5913	5961
996	5919	5954
997	5924	5948
998	5930	5942
999	5936	5936
1000	5942	5930
1001	5947	5924
1002	5953	5918
1003	5959	5912
1004	5965	5905
1005	5970	5899
1006	5976	5893
1007	5982	5887
1008	5988	5881
1009	5993	5875
1010	5999	5868
1011	6006	5863
1012	6011	5857
1013	6017	5851
1014	6023	5845
1015	6029	5839
1016	6035	5833
1017	6040	5827
1018	6046	5821
1019	6052	5815
1020	6058	5808
1021	6063	5802
1022	6070	5797
1023	6076	5791
