iter	Passed	Remaining
1653	9781	2046
1654	9787	2040
1655	9793	2034
1656	9799	2028
1657	9805	2022
1658	9811	2016
1659	9817	2010
1660	9822	2004
1661	9828	1998
1662	9836	1993
1663	9842	1987
1664	9848	1981
1665	9854	1975
1666	9860	1969
1667	9866	1963
1668	9871	1957
1669	9877	1951
1670	9883	1945
1671	9889	1940
1672	9895	1934
1673	9901	1928
1674	9907	1922
1675	9912	1916
1676	9918	1910
1677	9924	1904
1678	9930	1898
1679	9936	1892
1680	9941	1886
1681	9947	1880
1682	9953	1874
1683	9959	1868
1684	9964	1862
1685	9971	1857
1686	9976	1851
1687	9983	1845
1688	9988	1839
1689	9995	1833
1690	10000	1827
1691	10006	1821
1692	10012	1815
1693	10018	1809
1694	10024	1803
1695	10030	1797
1696	10036	1791
1697	10042	1786
1698	10047	1780
1699	10053	1774
1700	10059	1768
1701	10065	1762
1702	10071	1756
1703	10077	1750
1704	10083	1744
1705	10089	1738
1706	10094	1732
1707	10100	1726
1708	10106	1720
1709	10112	1715
1710	10119	1709
1711	10124	1703
1712	10130	1697
1713	10136	1691
1714	10142	1685
1715	10148	1679
1716	10154	1673
1717	10159	1667
1718	10166	1661
1719	10173	1656
1720	10181	1650
1721	10188	1644
1722	10194	1638
1723	10200	1633
1724	10206	1627
1725	10211	1621
1726	10218	1615
1727	10226	1609
1728	10232	1603
1729	10237	1597
1730	10243	1591
1731	10249	1585
1732	10255	1579
1733	10260	1574
1734	10266	1568
1735	10273	1562
1736	10280	1556
1737	10286	1550
1738	10292	1544
1739	10297	1538
1740	10303	1532
1741	10309	1526
1742	10315	1520
1743	10321	1515
1744	10327	1509
1745	10333	1503
1746	10339	1497
1747	10345	1491
1748	10351	1485
1749	10357	1479
1750	10363	1473
1751	10369	1467
1752	10374	1461
1753	10380	1455
1754	10386	1449
1755	10392	1443
1756	10397	1438
1757	10403	1432
1758	10409	1426
1759	10415	1420
1760	10421	1414
1761	10427	1408
1762	10433	1402
1763	10439	1396
1764	10445	1390
1765	10451	1384
1766	10457	1378
1767	10463	1372
1768	10468	1367
1769	10474	1361
1770	10480	1355
1771	10486	1349
1772	10492	1343
1773	10498	1337
1774	10504	1331
1775	10510	1325
1776	10515	1319
1777	10521	1313
1778	10527	1307
1779	10533	1301
1780	10538	1295
1781	10544	1289
1782	10550	1283
1783	10555	1278
1784	10561	1272
1785	10567	1266
1786	10573	1260
1787	10579	1254
1788	10585	1248
1789	10590	1242
1790	10596	1236
1791	10602	1230
1792	10608	1224
1793	10613	1218
1794	10621	1213
1795	10627	1207
1796	10633	1201
1797	10639	1195
1798	10645	1189
1799	10650	1183
1800	10656	1177
1801	10662	1171
1802	10668	1165
1803	10674	1159
1804	10679	1153
1805	10685	1147
1806	10691	1141
1807	10697	1135
1808	10703	1130
1809	10709	1124
1810	10715	1118
1811	10720	1112
1812	10726	1106
1813	10732	1100
1814	10738	1094
1815	10743	1088
1816	10749	1082
1817	10756	1076
1818	10761	1070
1819	10767	1064
1820	10773	1059
1821	10779	1053
1822	10785	1047
1823	10790	1041
1824	10796	1035
1825	10802	1029
1826	10808	1023
1827	10814	1017
1828	10820	1011
1829	10826	1005
1830	10832	999
1831	10838	993
1832	10844	988
1833	10850	982
1834	10855	976
1835	10861	970
1836	10867	964
1837	10873	958
1838	10879	952
1839	10885	946
1840	10891	940
1841	10896	934
1842	10902	928
1843	10908	922
1844	10914	916
1845	10919	910
1846	10925	905
1847	10931	899
1848	10937	893
1849	10942	887
1850	10948	881
1851	10954	875
1852	10960	869
1853	10966	863
1854	10971	857
1855	10977	851
1856	10983	845
1857	10989	839
1858	10995	833
1859	11001	828
1860	11007	822
1861	11014	816
1862	11021	810
1863	11027	804
1864	11032	798
1865	11038	792
1866	11044	786
1867	11050	780
1868	11056	774
1869	11061	769
1870	11067	763
1871	11073	757
1872	11079	751
1873	11084	745
1874	11091	739
1875	11096	733
1876	11102	727
1877	11108	721
1878	11114	715
1879	11119	709
1880	11125	703
1881	11131	697
1882	11137	692
1883	11143	686
1884	11149	680
1885	11156	674
1886	11161	668
1887	11167	662
1888	11173	656
1889	11179	650
1890	11185	644
1891	11191	638
1892	11197	632
1893	11203	627
1894	11209	621
1895	11214	615
1896	11221	609
1897	11227	603
1898	11233	597
1899	11239	591
1900	11245	585
1901	11250	579
1902	11256	573
1903	11262	567
1904	11268	561
1905	11274	556
1906	11279	550
1907	11286	544
1908	11292	538
1909	11297	532
1910	11303	526
1911	11309	520
1912	11315	514
1913	11321	508
1914	11327	502
1915	11333	496
1916	11339	490
1917	11344	485
1918	11350	479
1919	11356	473
1920	11361	467
1921	11367	461
1922	11373	455
1923	11379	449
1924	11385	443
1925	11390	437
1926	11396	431
1927	11402	425
1928	11409	419
1929	11416	414
1930	11421	408
1931	11427	402
1932	11433	396
1933	11439	390
1934	11444	384
1935	11451	378
1936	11456	372
1937	11462	366
1938	11468	360
1939	11474	354
1940	11480	348
1941	11486	343
1942	11491	337
1943	11497	331
1944	11503	325
1945	11509	319
1946	11515	313
1947	11521	307
1948	11526	301
1949	11532	295
1950	11538	289
1951	11545	283
1952	11551	277
1953	11557	272
1954	11563	266
1955	11568	260
1956	11574	254
1957	11580	248
1958	11586	242
1959	11592	236
1960	11597	230
1961	11603	224
1962	11609	218
1963	11615	212
1964	11621	206
1965	11627	201
1966	11633	195
1967	11638	189
1968	11645	183
1969	11650	177
1970	11656	171
1971	11662	165
1972	11668	159
1973	11674	153
1974	11680	147
1975	11686	141
1976	11692	136
1977	11698	130
1978	11704	124
1979	11709	118
1980	11716	112
1981	11722	106
1982	11728	100
1983	11733	94
1984	11739	88
1985	11745	82
1986	11751	76
1987	11757	70
1988	11763	65
1989	11769	59
1990	11774	53
1991	11780	47
1992	11786	41
1993	11792	35
1994	11800	29
1995	11807	23
1996	11813	17
1997	11818	11
1998	11824	5
1999	11830	0
