iter	RMSE
0	1.006678628
1	0.9945075305
2	0.98334744
3	0.9735035066
4	0.9623969754
5	0.9516180165
6	0.941475383
7	0.9309273482
8	0.9202052503
9	0.9096967373
10	0.8999407526
11	0.8910181189
12	0.8811108489
13	0.8716475917
14	0.8626905093
15	0.8532119549
16	0.8445187429
17	0.8366910849
18	0.8277179422
19	0.8193378382
20	0.8113901305
21	0.8033938581
22	0.7954804318
23	0.7874165498
24	0.7797663614
25	0.7724451006
26	0.7657278407
27	0.757674136
28	0.7507320088
29	0.7435554337
30	0.7358638512
31	0.7290734284
32	0.7208966479
33	0.713740715
34	0.7058631191
35	0.6999721049
36	0.6940119861
37	0.6878549525
38	0.6817600537
39	0.676181527
40	0.6702477601
41	0.6638096991
42	0.6580403486
43	0.6518373773
44	0.6469576449
45	0.6415877004
46	0.6362373598
47	0.631102373
48	0.624693866
49	0.6193802045
50	0.6130500346
51	0.6067455673
52	0.6011322228
53	0.5961423961
54	0.5910147871
55	0.586404191
56	0.5819403272
57	0.5773594896
58	0.5727718903
59	0.5680157758
60	0.5622110349
61	0.5567906905
62	0.5516777198
63	0.5471885206
64	0.5423227427
65	0.5377258421
66	0.5326479478
67	0.5287902212
68	0.5243142955
69	0.5188777329
70	0.5148913971
71	0.5096995253
72	0.5044993932
73	0.5002440853
74	0.496823634
75	0.4922421016
76	0.4885343623
77	0.4849592984
78	0.4805771854
79	0.476842655
80	0.4719268028
81	0.4678692784
82	0.4638901831
83	0.459522806
84	0.4551380499
85	0.451232799
86	0.4475611244
87	0.4436294418
88	0.4405048238
89	0.4364721205
90	0.4336862139
91	0.4310715086
92	0.4279718177
93	0.4242826105
94	0.4204517213
95	0.4172905857
96	0.4137732942
97	0.4116434848
98	0.4089898684
99	0.4056079233
100	0.4022124613
101	0.3988086316
102	0.3963765222
103	0.3933488371
104	0.3906762305
105	0.3878771081
106	0.3844462443
107	0.3820080927
108	0.3793216317
109	0.3766722654
110	0.3739080993
111	0.3712590721
112	0.3686879867
113	0.3658946254
114	0.3628255964
115	0.3603323969
116	0.3579581558
117	0.3558282923
118	0.3539387123
119	0.351070677
120	0.347962103
121	0.3456665828
122	0.343603577
123	0.3412623259
124	0.3387355323
125	0.3369707289
126	0.3343752915
127	0.3320440618
128	0.3301046609
129	0.32763264
130	0.325422608
131	0.3225502127
132	0.3201998088
133	0.3180454265
134	0.3157033915
135	0.3131049028
136	0.3105120725
137	0.3087067853
138	0.3066298744
139	0.3044321252
140	0.3025667642
141	0.3002911717
142	0.2982453251
143	0.2958560997
144	0.2940471493
145	0.292191762
146	0.2902648402
147	0.2890221843
148	0.2876642985
149	0.2860185921
150	0.2836608309
151	0.2821097037
152	0.2801015479
153	0.2780701775
154	0.2762703581
155	0.2749898275
156	0.2733848088
157	0.271780113
158	0.2700079107
159	0.2682105689
160	0.266694963
161	0.2653328517
162	0.2638904475
163	0.2621083095
164	0.2609043471
165	0.2595785139
166	0.2582120317
167	0.256837416
168	0.2551194029
169	0.2534586397
170	0.2524177155
171	0.2511134521
172	0.2496358487
173	0.2484516752
174	0.2470665457
175	0.2456701422
176	0.2443230957
177	0.2429616031
178	0.2416398071
179	0.2405159526
180	0.239358717
181	0.2380023408
182	0.2366865602
183	0.2356047292
184	0.2339789453
185	0.2327739286
186	0.2318398494
187	0.2302527294
188	0.2288579853
189	0.2278914515
190	0.2265137848
191	0.2249696689
192	0.223949591
193	0.2226096896
194	0.2212061671
195	0.2200166765
196	0.2190141508
197	0.2176006215
198	0.2161302945
199	0.2152155518
200	0.2143571359
201	0.2133615907
202	0.2123981024
203	0.2111556738
204	0.2101629371
205	0.2092220025
206	0.2083484676
207	0.2075403177
208	0.2066228019
209	0.2056864218
210	0.2043209009
211	0.2029707782
212	0.2022601991
213	0.2013213566
214	0.2000483295
215	0.1994545083
216	0.1982750744
217	0.1973751341
218	0.196322613
219	0.1955367299
220	0.1945821244
221	0.1935699641
222	0.1925309598
223	0.1917292642
224	0.1908875516
225	0.1900672903
226	0.1889063574
227	0.1881496788
228	0.1873232866
229	0.1863739803
230	0.1856162888
231	0.1848232276
232	0.1841918603
233	0.183299316
234	0.1826487705
235	0.1817082273
236	0.1808873493
237	0.1802430969
238	0.1794571637
239	0.1786145712
240	0.178101381
241	0.1772152112
242	0.176485907
243	0.175877898
244	0.1750863118
245	0.174093198
246	0.1735260387
247	0.1726438942
248	0.1718981471
249	0.170987895
250	0.1703068622
251	0.1696260174
252	0.1689883454
253	0.1682518458
254	0.1673654195
255	0.1668059932
256	0.1661097596
257	0.1652586199
258	0.1645840651
259	0.1640779813
260	0.1634842053
261	0.1629219444
262	0.162181617
263	0.1616051422
264	0.1611229623
265	0.1605646076
266	0.1598240937
267	0.1592236369
268	0.1584436999
269	0.1580654133
270	0.1573445053
271	0.1567691005
272	0.1560762924
273	0.1555355907
274	0.1548813699
275	0.154299628
276	0.1537656154
277	0.1529264963
278	0.1523295491
279	0.1516361557
280	0.1509941148
281	0.1502814117
282	0.1495665558
283	0.1491749224
284	0.1486533902
285	0.1481485813
286	0.1474816924
287	0.1466834288
288	0.146009697
289	0.1453049623
290	0.1445916668
291	0.144076486
292	0.1436468331
293	0.1431818827
294	0.1427073375
295	0.1422121598
296	0.1417711034
297	0.1410560936
298	0.1405425258
299	0.1401397707
300	0.1395487499
301	0.1388790549
302	0.1383730636
303	0.1380463103
304	0.1375024631
305	0.136951126
306	0.1363735073
307	0.1359131104
308	0.1354673053
309	0.1349825829
310	0.1344526921
311	0.1339901581
312	0.1334657305
313	0.1329460623
314	0.1325576984
315	0.1321569794
316	0.1316497699
317	0.1311725463
318	0.1307619736
319	0.1304431427
320	0.1298864519
321	0.1294349334
322	0.1290372038
323	0.1285995801
324	0.1283263611
325	0.127873026
326	0.1274853669
327	0.1270269142
328	0.1266226362
329	0.1261938697
330	0.1258702661
331	0.1253603936
332	0.1248910381
333	0.1244939839
334	0.124027422
335	0.1234206952
336	0.1229783365
337	0.1226999393
338	0.122322257
339	0.1217331345
340	0.1214236595
341	0.1211090324
342	0.1207167847
343	0.1201467314
344	0.1196668465
345	0.1193370543
346	0.1190291734
347	0.1186672691
348	0.1183226521
349	0.1179135639
350	0.117449751
351	0.1170962947
352	0.1168624238
353	0.1165602877
354	0.116193041
355	0.1158135235
356	0.1153532808
357	0.1149387774
358	0.114564612
359	0.1141757904
360	0.1137322936
361	0.1134785784
362	0.113236557
363	0.112870886
364	0.112606789
365	0.1122430786
366	0.1118403471
367	0.1114286885
368	0.1111117841
369	0.1107667906
370	0.110561358
371	0.1102190473
372	0.1099416529
373	0.1095729942
374	0.1091468733
375	0.1088170012
376	0.1084297979
377	0.1080494747
378	0.1077447268
379	0.1073478727
380	0.107054757
381	0.1067754878
382	0.1063993866
383	0.106117127
384	0.1058639605
385	0.1055251162
386	0.1051752918
387	0.1048724544
388	0.1045195562
389	0.1041332744
390	0.1037680038
391	0.103359327
392	0.1030579248
393	0.1026550906
394	0.1024806069
395	0.1021765373
396	0.1018245789
397	0.1014842438
398	0.1012148508
399	0.1007777931
400	0.1004955919
401	0.1002884956
402	0.1001040838
403	0.09989139447
404	0.09962495344
405	0.09920921981
406	0.09896630994
407	0.09866768529
408	0.09843099744
409	0.09819755705
410	0.09795925371
411	0.09769101803
412	0.09749119443
413	0.09726370703
414	0.09709991334
415	0.09678090654
416	0.09658824864
417	0.09628406586
418	0.0958820353
419	0.0956265734
420	0.09541785334
421	0.09518715969
422	0.0949980237
423	0.09476639071
424	0.0944813513
425	0.09427035332
426	0.09404498184
427	0.09368042965
428	0.09336647296
429	0.09315076225
430	0.09299728893
431	0.09274568503
432	0.09253934456
433	0.09225449433
434	0.09207618887
435	0.0918808697
436	0.09159775091
437	0.09144552908
438	0.09128015044
439	0.09099131296
440	0.09078598246
441	0.09061891091
442	0.09038675723
443	0.09015293662
444	0.08989358404
445	0.08962017528
446	0.08934733517
447	0.08915089887
448	0.08889032151
449	0.08864876271
450	0.08844712592
451	0.08820979418
452	0.08796668617
453	0.08778627569
454	0.08763297476
455	0.0873935998
456	0.08714935443
457	0.08690281207
458	0.0867156194
459	0.08656286308
460	0.08636008082
461	0.0861459937
462	0.08588547706
463	0.08565678951
464	0.08548088665
465	0.08529366161
466	0.08516721897
467	0.08500558037
468	0.08478630751
469	0.08452396776
470	0.08428866304
471	0.08407126683
472	0.08392275835
473	0.08369536307
474	0.08356041052
475	0.08339340643
476	0.08320073715
477	0.08300204428
478	0.08280265302
479	0.08266991093
480	0.08248172518
481	0.08227705464
482	0.08213314904
483	0.08194228865
484	0.08169756088
485	0.08151724821
486	0.08136002944
487	0.08117868222
488	0.0809846688
489	0.08085619624
490	0.08071187227
491	0.08046953439
492	0.0802437067
493	0.08012480071
494	0.07993352094
495	0.07978750092
496	0.079625522
497	0.0794086538
498	0.07921268895
499	0.07906300143
500	0.07892399187
501	0.07879805899
502	0.07862897577
503	0.07842542392
504	0.07829351597
505	0.07811806938
506	0.0779522242
507	0.07784178487
508	0.07771348652
509	0.07749180028
510	0.07735401832
511	0.07719921814
512	0.07701445722
513	0.07680147805
514	0.07662415788
515	0.07643271167
516	0.07624713501
517	0.07609752317
518	0.07589686849
519	0.07576937417
520	0.07555335884
521	0.07534822444
522	0.07516397838
523	0.07503145726
524	0.07487778612
525	0.07470341924
526	0.07457782019
527	0.07442582752
528	0.07429709399
529	0.07417857681
530	0.07405649863
531	0.0739179563
532	0.07379559158
533	0.0736032697
534	0.07341823698
535	0.07329337087
536	0.07314030087
537	0.07297117083
538	0.0728595092
539	0.07266364027
540	0.07249588103
541	0.07234265084
542	0.07216620384
543	0.07205265243
544	0.07191006517
545	0.07174853705
546	0.07163818876
547	0.07147623372
548	0.07132249616
549	0.07116542596
550	0.07100980151
551	0.07086702005
552	0.07074481112
553	0.07065929901
554	0.07049555469
555	0.0703773229
556	0.0702669346
557	0.07013855255
558	0.07003376484
559	0.06988632734
560	0.06970425416
561	0.06959983452
562	0.06945359437
563	0.06927925874
564	0.06915922607
565	0.06906072081
566	0.06893885431
567	0.06878209652
568	0.06860229118
569	0.06846641182
570	0.06830611303
571	0.06817570389
572	0.06804716126
573	0.06786983772
574	0.06777109834
575	0.0676552632
576	0.06751045456
577	0.0673485247
578	0.06719625006
579	0.06705942436
580	0.06697542832
581	0.06686722721
582	0.06670632887
583	0.06661589267
584	0.06647385273
585	0.06636002488
586	0.06624953223
587	0.06613692514
588	0.06603508516
589	0.06591192374
590	0.06578612824
591	0.06565178324
592	0.06555488235
593	0.06542280381
594	0.06532629187
595	0.06524045105
596	0.06514493312
597	0.06505587258
598	0.06495704065
599	0.06484021672
600	0.06471600195
601	0.0646547566
602	0.06454123835
603	0.06441362182
604	0.06431120303
605	0.06419280134
606	0.06404504847
607	0.06390447709
608	0.06381869396
609	0.06372382982
610	0.06360365075
611	0.06344161038
612	0.06333617704
613	0.06321737702
614	0.06311138431
615	0.06299487109
616	0.06292802111
617	0.06278423056
618	0.06268733592
619	0.06253353986
620	0.06242650702
621	0.06229154873
622	0.06217165522
623	0.0620589789
624	0.06194926805
625	0.06184195094
626	0.06174643885
627	0.06162977989
628	0.06152074801
629	0.06141838995
630	0.06135483483
631	0.06127124587
632	0.06118991962
633	0.06108382238
634	0.061006079
635	0.06092507934
636	0.06084037381
637	0.06072672433
638	0.06061932387
639	0.060526023
640	0.0604578228
641	0.06037050793
642	0.06026776903
643	0.06015266508
644	0.06004569253
645	0.05995868925
646	0.05987799712
647	0.05979036835
648	0.05971201535
649	0.05961383467
650	0.05951333616
651	0.05942089004
652	0.05931807817
653	0.05923199837
654	0.05913821079
655	0.05904980758
656	0.05895676428
657	0.05885901814
658	0.05879981029
659	0.05871270211
660	0.05865423683
661	0.05858739763
662	0.05845467429
663	0.05836613464
664	0.05828875511
665	0.05819636218
666	0.05808605194
667	0.05802739392
668	0.05798086375
669	0.05788612808
670	0.05780928573
671	0.05772593012
672	0.05766422979
673	0.0575386166
674	0.05745470847
675	0.05736408804
676	0.05725149407
677	0.05715268988
678	0.05705660156
679	0.05697110603
680	0.05688780717
681	0.05684584909
682	0.05676986819
683	0.0566709141
684	0.05659648659
685	0.05653171117
686	0.05645240477
687	0.05639979485
688	0.0563129788
689	0.05623549343
690	0.05617863847
691	0.05606824857
692	0.05598349651
693	0.05589911292
694	0.05581417583
695	0.05574499313
696	0.05569112307
697	0.05563749857
698	0.05558514
699	0.05549696039
700	0.05538580937
701	0.05530330176
702	0.05526290377
703	0.05518725242
704	0.05512039031
705	0.05506272305
706	0.05498794895
707	0.05488538562
708	0.05480784765
709	0.05474182602
710	0.05467962533
711	0.05462011243
712	0.05454213657
713	0.05445768602
714	0.0543880567
715	0.05430945362
716	0.05426665985
717	0.05417137468
718	0.05409876172
719	0.05403704253
720	0.05400025322
721	0.05395053161
722	0.05388979112
723	0.0538206329
724	0.0537740331
725	0.05371636115
726	0.05366020735
727	0.05359836067
728	0.0535427906
729	0.05349012194
730	0.05344277376
731	0.05336542675
732	0.05324151011
733	0.05314793387
734	0.05307549195
735	0.05299215309
736	0.05294046328
737	0.05287565875
738	0.05282331789
739	0.05275549235
740	0.0526897863
741	0.05265493363
742	0.05254820137
743	0.05249990068
744	0.0524451891
745	0.05239216545
746	0.05230693244
747	0.05224657199
